undefined﻿ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1,MapQuest,201,3,2/8/16 5:46,2/8/16 11:00,39.865147,-84.058723,0,0,0.01,Right lane blocked due to accident on I-70 Eastbound at Exit 41 OH-235 State Route 4.,0,I-70 E,R,Dayton,Montgomery,OH,45424,US,US/Eastern,KFFO,2/8/16 5:58,36.9,0,91,29.68,10,Calm,0,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2,MapQuest,201,2,2/8/16 6:07,2/8/16 6:37,39.928059,-82.831184,0,0.01,Accident on Brice Rd at Tussing Rd. Expect delays.,2584,Brice Rd,L,Reynoldsburg,Franklin,OH,43068-3402,US,US/Eastern,KCMH,2/8/16 5:51,37.9,0,100,29.65,10,Calm,0,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-3,MapQuest,201,2,2/8/16 6:49,2/8/16 7:19,39.063148,-84.032608,0,0,0.01,Accident on OH-32 State Route 32 Westbound at Dela Palma Rd. Expect delays.,0,State Route 32,R,Williamsburg,Clermont,OH,45176,US,US/Eastern,KI69,2/8/16 6:56,36,33.3,100,29.67,10,SW,3.5,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Day,Day
A-4,MapQuest,201,3,2/8/16 7:23,2/8/16 7:53,39.747753,-84.205582,0,0,0.01,Accident on I-75 Southbound at Exits 52 52B US-35. Expect delays.,0,I-75 S,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/8/16 7:38,35.1,31,96,29.64,9,SW,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-5,MapQuest,201,2,2/8/16 7:39,2/8/16 8:09,39.627781,-84.188354,0,0,0.01,Accident on McEwen Rd at OH-725 Miamisburg Centerville Rd. Expect delays.,0,Miamisburg Centerville Rd,R,Dayton,Montgomery,OH,45459,US,US/Eastern,KMGY,2/8/16 7:53,36,33.3,89,29.65,6,SW,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-6,MapQuest,201,3,2/8/16 7:44,2/8/16 8:14,40.10059,-82.925194,0,0,0.01,Accident on I-270 Outerbelt Northbound near Exit 29 OH-3 State St. Expect delays.,0,Westerville Rd,R,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2/8/16 7:51,37.9,35.5,97,29.63,7,SSW,3.5,0.03,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7,MapQuest,201,2,2/8/16 7:59,2/8/16 8:29,39.758274,-84.230507,0,0,0,Accident on Oakridge Dr at Woodward Ave. Expect delays.,376,N Woodward Ave,R,Dayton,Montgomery,OH,45417-2476,US,US/Eastern,KDAY,2/8/16 7:56,34,31,100,29.66,7,WSW,3.5,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-8,MapQuest,201,3,2/8/16 7:59,2/8/16 8:29,39.770382,-84.194901,0,0,0.01,Accident on I-75 Southbound at Exit 54B Grand Ave. Expect delays.,0,N Main St,R,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/8/16 7:56,34,31,100,29.66,7,WSW,3.5,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-9,MapQuest,201,2,2/8/16 8:00,2/8/16 8:30,39.778061,-84.172005,0,0,0,Accident on Notre Dame Ave at Warner Ave. Expect delays.,99,Notre Dame Ave,L,Dayton,Montgomery,OH,45404-1923,US,US/Eastern,KFFO,2/8/16 7:58,33.3,0,99,29.67,5,SW,1.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-10,MapQuest,201,3,2/8/16 8:10,2/8/16 8:40,40.10059,-82.925194,0,0,0.01,Right hand shoulder blocked due to accident on I-270 Outerbelt Westbound at Exit 29 OH-3 State St.,0,Westerville Rd,R,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2/8/16 8:28,37.4,33.8,100,29.62,3,SSW,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
